Bx(nT),By(nT),Bz(nT),Sampling frequency (Hz)
8840.6,2695.94,57779.09,
8836.76,2692.52,57776,
8840.01,2696.05,57779.28,
8839.15,2694.18,57777.41,
8841.21,2697.65,57780.98,
8842.6,2698.82,57781.74,
8842.95,2699.54,57782.61,
8840.06,2695.38,57778.31,
8838.37,2694.39,57777.86,
8839.83,2694.9,57777.9,
8840.03,2696.44,57779.97,
8836.18,2692.3,57775.95,
8839.07,2694.44,57777.89,
8837.8,2692.95,57776.23,
8841.24,2697.29,57780.67,
8838.65,2696.08,57779.8,
8836.71,2692.45,57776.13,
8839.37,2695.82,57779.41,
8842.51,2699.18,57782.42,
8843.25,2700.05,57783.45,
8838.91,2694.72,57778.32,
8836.72,2692.49,57776.48,
8845.02,2703,57786.48,
8839.6,2695.46,57779.2,
8843.27,2700.22,57783.81,
8841.59,2698.25,57781.93,
8835.1,2690.86,57775.2,
8842.47,2698.78,57782.58,
8840.07,2695.5,57779.27,
8839.71,2695.27,57779.22,
8837.41,2694.31,57778.91,
8841.65,2697.11,57781,
8836.76,2692.95,57777.68,
8836.72,2691.45,57775.94,
8842.61,2699.18,57783.41,
8840.36,2696.07,57780.43,
8839.15,2695.5,57779.88,
8838.91,2694.26,57778.57,
8839.64,2696.14,57780.82,
8837.92,2693.76,57778.49,
8843.38,2699.91,57784.15,
8832.05,2687.98,57773.31,
8838.13,2694.42,57779.46,
8836.54,2692.82,57778.16,
8842.12,2695.87,57780.18,
8838.22,2694.27,57779.38,
8842.3,2700.21,57785.35,
8842.02,2699.13,57784.09,
8840.64,2695.44,57780.36,
8838.34,2693.67,57778.83,
8840.37,2695.8,57780.98,
8844.51,2701.86,57786.97,
8841.17,2697.23,57782.54,
8840.41,2695.95,57781.27,
8843.25,2700.53,57785.97,
8837.51,2693.73,57779.62,
8832.94,2688.08,57774.41,
8840.95,2698.34,57784.21,
8836.48,2692.56,57778.96,
8839.08,2695.32,57781.52,
8837.92,2693.61,57779.88,
8837.17,2694.24,57780.96,
8840.37,2697.46,57783.74,
8836.1,2692.47,57779.42,
8842.03,2699.15,57785.51,
8839.88,2696.87,57783.66,
8838.98,2695.02,57781.88,
8838.16,2695.71,57782.93,
8834.52,2691.62,57779.33,
8839.58,2695.87,57782.95,
8839.44,2695.85,57783.13,
8838.62,2693.63,57780.75,
8837.54,2694.52,57782.17,
8835.4,2691.41,57779.32,
8838.06,2694.66,57782.38,
8834.48,2691.1,57779.14,
8836.47,2691.97,57779.82,
8835.88,2692.7,57780.97,
8841.58,2697.54,57785.14,
8835.4,2690.25,57778.4,
8838.94,2695.53,57783.82,
8836.28,2691.23,57779.83,
8842.08,2697.54,57785.51,
8837.52,2692.99,57781.51,
8841.14,2697.96,57786.52,
8833.59,2688.84,57777.92,
8835.57,2689.68,57778.53,
8837.87,2693.24,57782.3,
8837.6,2693.56,57782.65,
8834.13,2687.98,57777.61,
8836.38,2692.37,57781.95,
8835.39,2689.44,57779.04,
8835.92,2690.34,57779.94,
8834.6,2688.82,57778.8,
8833.75,2687.8,57777.79,
8832.86,2687.17,57777.51,
8835.05,2689.51,57779.68,
8836.61,2690.25,57780.36,
8837.57,2693.67,57783.79,
8836.57,2692.07,57782.51,
8836.15,2690.05,57780.34,
8838.4,2693.64,57783.98,
8840.53,2695.98,57786.48,
8837.99,2692.42,57782.73,
8833.68,2689.17,57780.33,
8833.58,2687.07,57778.11,
8832.39,2686.07,57777.16,
8836.98,2692.89,57783.89,
8837.19,2692.15,57783.16,
8836.3,2690.74,57781.73,
8830.58,2683.88,57775.5,
8835.96,2689.8,57781.01,
8836.47,2690.88,57782.14,
8834.46,2686.98,57778.29,
8834.68,2688.12,57779.56,
8836.75,2692.21,57783.82,
8838.67,2692.32,57783.25,
8835.38,2688.24,57779.72,
8834.65,2688.58,57780.36,
8839.59,2693.32,57784.48,
8836.7,2690.48,57782.17,
8834.37,2688.32,57780.33,
8835,2688.13,57779.83,
8834.93,2687.12,57778.79,
8831.44,2685.53,57777.76,
8836.14,2690.99,57783.02,
8841.37,2696.12,57787.48,
8836.01,2688.42,57780.08,
8839.39,2692.7,57784.23,
8838.25,2691.24,57782.81,
8833.23,2686.04,57778.23,
8834.07,2686.76,57778.82,
8837.16,2691.83,57783.9,
8839.01,2691,57782.66,
8838.49,2691.17,57782.71,
8833.17,2685.13,57777.58,
8834.97,2687.39,57779.5,
8828.2,2678.71,57771.39,
8830.9,2683.42,57776.22,
8833.07,2685.09,57777.43,
8834.04,2687.38,57779.9,
8837.53,2689.84,57781.93,
8836.94,2691.49,57783.8,
8831.31,2683.6,57775.94,
8832.23,2684.11,57776.48,
8834.68,2687.42,57779.69,
8835.44,2686.56,57778.37,
8827.45,2678.97,57771.84,
8837.74,2690.84,57782.98,
8836.19,2688.17,57780.06,
8838.45,2690.46,57782.13,
8836.2,2689.18,57781.08,
8836.47,2689.8,57781.74,
8831.44,2682.41,57774.54,
8836.28,2688.46,57780.27,
8833.81,2684.91,57776.71,
8837.96,2690.64,57782.29,
8837.73,2690.34,57781.88,
8838.73,2691.04,57782.28,
8834.86,2687.41,57779.19,
8834.33,2684.75,57776.25,
8838.12,2690.44,57781.71,
8837.54,2690.4,57781.79,
8833.99,2685.14,57776.57,
8836.22,2688.81,57780.18,
8836.98,2688.44,57779.17,
8835.74,2688.72,57779.93,
8832.2,2685.13,57776.55,
8837.66,2692.45,57783.54,
8832.89,2685.77,57777.2,
8837.1,2689.67,57780.41,
8840.73,2693.52,57784.22,
8842.4,2696.89,57787.14,
8838.21,2691.78,57782.24,
8836.4,2688.42,57779.05,
8838.07,2689.13,57779.37,
8838.37,2690,57780.03,
8838.08,2691.11,57781.38,
8836.03,2689.35,57779.92,
8839.76,2692.74,57782.66,
8839.4,2692.73,57782.68,
8835.26,2687.95,57778.06,
8836.95,2690.02,57780.24,
8839.2,2691.29,57780.81,
8837.49,2690.78,57780.69,
8840.04,2695.25,57785.11,
8835.51,2688.55,57778.46,
8833.8,2686.52,57776.54,
8837.4,2688.78,57778.29,
8831.12,2683.11,57773.19,
8834.11,2686.38,57776.09,
8834.28,2686.88,57776.52,
8835.6,2687.96,57777.41,
8835.9,2687.53,57776.59,
8833.05,2685,57774.38,
8837.54,2689.51,57778.43,
8833.61,2685.66,57774.84,
8837.79,2690.13,57778.93,
8838.99,2693.24,57781.92,
8835.12,2688.25,57776.98,
8836.71,2690.36,57779.07,
8833.96,2687.51,57776.28,
8836,2688.16,57776.32,
8836.45,2689.94,57778.07,
8834.08,2687.35,57775.57,
8834.02,2686.55,57774.66,
8839.07,2693.9,57781.7,
8840.44,2695.44,57782.92,
8835.96,2690.13,57777.86,
8834.45,2688.41,57775.94,
8832.74,2686.16,57773.89,
8837.29,2690.68,57777.77,
8837.9,2691.56,57778.46,
8834.32,2687.45,57774.52,
8834.61,2688.6,57775.7,
8837.35,2692.5,57779.27,
8836.09,2689.87,57776.34,
8837.48,2691.52,57777.96,
8836.96,2691.63,57777.96,
8832.09,2685.46,57772.14,
8840.21,2694.68,57780.73,
8840.19,2694.38,57780.04,
8835.12,2688.83,57774.86,
8837.65,2692.66,57778.86,
8840.28,2695.85,57781.46,
8838.31,2692.97,57778.39,
8836.02,2690.79,57776.16,
8834.71,2689.04,57774.65,
8833.27,2687.21,57772.79,
8837.04,2691.65,57776.72,
8832.65,2686.2,57771.74,
8838.22,2694.06,57779.01,
8833.4,2688.61,57773.79,
8837.37,2692.73,57777.55,
8836.06,2689.65,57774.29,
8830.47,2685.03,57770.36,
8835.79,2691.84,57776.63,
8837.3,2692.19,57776.6,
8834.93,2689.31,57773.7,
8832.42,2686.22,57770.71,
8839.01,2694.33,57778.34,
8835.87,2691.04,57775.2,
8836.49,2689.6,57773.09,
8832.06,2685.95,57770.26,
8840.93,2695.15,57778.37,
8835.69,2690.14,57773.84,
8840.87,2696.91,57780.44,
8840.64,2697.99,57781.33,
8839.56,2694.19,57777.32,
8838.84,2693.63,57776.75,
8838.83,2695.31,57778.86,
8837.73,2692.59,57775.77,
8841.25,2696.88,57779.7,
8838.01,2693.22,57776.2,
8839.66,2693.94,57776.59,
8833.85,2687.89,57771.1,
8837.8,2694.18,57777.22,
8831.15,2684.15,57767.5,
8836.18,2689.74,57772.66,
8840.81,2695.32,57777.58,
8839.41,2693.01,57775.41,
8837.98,2693.56,57776.33,
8838.24,2692.76,57775.08,
8833.21,2687.86,57770.67,
8837.25,2692.26,57774.88,
8837.35,2693.55,57775.97,
8836.58,2692.92,57775.41,
8837.94,2693.72,57775.9,
8836.2,2692.24,57774.35,
8837.78,2692.18,57773.59,
8838.97,2695.26,57776.91,
8841.31,2698.53,57779.62,
8837.56,2693.18,57774.31,
8838.54,2695.43,57776.77,
8834.76,2691.43,57772.79,
8835.08,2692.45,57773.85,
8837.42,2694.13,57775.07,
8837.84,2696.23,57777.18,
8837.08,2693.68,57774.27,
8838.51,2694.7,57775.09,
8840.61,2698.83,57778.96,
8836.69,2693.79,57774.23,
8841.94,2700.62,57780.6,
8838.13,2694.02,57773.74,
8836.22,2694.07,57774.14,
8834.84,2692.46,57772.76,
8837.18,2696.8,57777.03,
8836.75,2696.24,57776.14,
8833.73,2692.37,57772.41,
8836.67,2694.04,57773.79,
8831.74,2689.78,57769.72,
8835.88,2694.61,57774.2,
8835.01,2693.4,57772.89,
8834.06,2693.25,57772.94,
8842.15,2702.76,57781.71,
8837.82,2697.4,57776.51,
8839.43,2699.68,57778.7,
8837.69,2698.55,57777.66,
8836.14,2694.97,57773.79,
8836.49,2695.83,57774.62,
8843.1,2704.83,57783.29,
8836.39,2696.77,57775.59,
8837.39,2697.04,57775.61,
8838.85,2699.26,57777.81,
8836.66,2698.02,57776.71,
8837.57,2698.5,57777.25,
8839.63,2699.98,57778.18,
8835.56,2695,57773.47,
8840.43,2701.95,57780.34,
8838.2,2700.42,57779.06,
8833.55,2692.32,57770.88,
8841.53,2703.9,57782.42,
8835.97,2696.86,57775.6,
8837.3,2698.36,57777.09,
8835.35,2697.28,57776.35,
8834.48,2696.61,57775.68,
8833.93,2695.01,57774.05,
8834.91,2696.31,57775.34,
8839.83,2701.11,57779.79,
8837.69,2697.4,57776.1,
8837.88,2700.11,57779.16,
8833.08,2693.81,57773.25,
8834,2694.88,57774.37,
8837.11,2698.82,57778.45,
8836.4,2698.86,57778.46,
8840.43,2701.14,57780.25,
8834.96,2696.32,57776.35,
8838.8,2699.26,57778.77,
8842.94,2705.09,57784.51,
8839.74,2701.48,57781.37,
8837.02,2697.11,57776.86,
8836.17,2696.14,57776.33,
8835.74,2695.86,57776.2,
8829.51,2689.75,57770.94,
8831.7,2691.36,57772.32,
8832.08,2692.36,57773.63,
8837.35,2697.13,57777.81,
8834.43,2693.51,57774.79,
8836.82,2696.97,57778.1,
8838.09,2699.52,57780.89,
8836.39,2696.19,57777.62,
8838.1,2699.18,57780.95,
8838.16,2698.51,57780.2,
8836.37,2696.34,57778.47,
8838.02,2698.07,57780.18,
8833.53,2691.17,57773.48,
8837.9,2697.13,57779.45,
8835.54,2694.74,57777.53,
8839.5,2699.55,57782.43,
8840.38,2701.11,57784.13,
8841.87,2702.1,57785.08,
8836.89,2696.51,57779.98,
8837.76,2697.03,57780.77,
8835.43,2693.83,57777.84,
8837.19,2696.43,57780.88,
